Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.010000	0.218751	0.147600	93.481667	95.850000	
0.010000	0.118887	0.125268	96.566667	96.730000	
0.010000	0.098573	0.149191	97.196667	96.460000	
0.010000	0.084869	0.162770	97.711667	96.280000	
0.010000	0.073088	0.150559	97.978333	96.960000	
0.010000	0.066738	0.176946	98.241667	96.900000	
0.010000	0.073325	0.179667	98.160000	97.040000	
0.010000	0.059269	0.177420	98.483333	97.040000	
0.010000	0.054943	0.208882	98.546667	96.810000	
0.010000	0.061338	0.200420	98.598333	97.090000	
0.010000	0.051399	0.226336	98.796667	97.080000	
0.010000	0.051956	0.236597	98.778333	96.780000	
0.010000	0.048394	0.260802	98.878333	97.000000	
0.010000	0.056309	0.271687	98.808333	97.120000	
0.010000	0.047167	0.259384	99.061667	97.100000	
0.010000	0.040673	0.301626	99.108333	96.980000	
0.010000	0.042093	0.246790	99.120000	97.590000	
0.010000	0.043084	0.294251	99.138333	97.250000	
0.010000	0.041854	0.264247	99.121667	97.630000	
0.010000	0.040300	0.348658	99.235000	97.070000	
0.010000	0.039029	0.307624	99.275000	97.370000	
0.010000	0.042079	0.338705	99.275000	97.500000	
0.010000	0.052885	0.302772	99.096667	97.620000	
0.010000	0.030455	0.365213	99.465000	97.480000	
0.010000	0.039657	0.385716	99.323333	97.300000	
0.010000	0.034128	0.358866	99.400000	97.600000	
0.010000	0.038586	0.436574	99.410000	97.290000	
0.010000	0.041850	0.484705	99.351667	96.970000	
0.010000	0.043421	0.467511	99.393333	97.340000	
0.010000	0.032777	0.478947	99.498333	97.540000	
0.010000	0.035581	0.431747	99.465000	97.780000	
0.010000	0.037132	0.540469	99.381667	97.370000	
0.010000	0.037247	0.446112	99.483333	97.440000	
0.010000	0.027493	0.445588	99.556667	97.630000	
0.010000	0.043867	0.494973	99.471667	97.460000	
0.010000	0.037268	0.510214	99.521667	97.660000	
0.010000	0.033900	0.518562	99.525000	97.610000	
0.010000	0.036304	0.545812	99.558333	97.600000	
0.010000	0.030334	0.542602	99.573333	97.440000	
0.010000	0.041640	0.601194	99.511667	97.470000	
0.010000	0.027036	0.617737	99.656667	97.550000	
0.010000	0.039730	0.640844	99.515000	97.420000	
0.010000	0.030031	0.591062	99.628333	97.430000	
0.010000	0.033969	0.596476	99.605000	97.540000	
0.010000	0.031217	0.605897	99.615000	97.520000	
0.010000	0.035188	0.593427	99.581667	97.660000	
0.010000	0.031255	0.632857	99.640000	97.510000	
0.010000	0.030545	0.618951	99.653333	97.520000	
0.010000	0.025464	0.671145	99.651667	97.660000	
0.010000	0.035744	0.613359	99.626667	97.670000	
0.010000	0.041079	0.743601	99.586667	97.400000	
0.010000	0.032309	0.826479	99.651667	97.570000	
0.010000	0.028487	0.788371	99.683333	97.550000	
0.010000	0.029676	0.726323	99.696667	97.660000	
0.010000	0.029328	0.797979	99.698333	97.630000	
0.010000	0.030288	0.800231	99.718333	97.500000	
0.010000	0.036218	0.870253	99.703333	97.350000	
0.010000	0.025668	0.814743	99.728333	97.750000	
0.010000	0.033546	0.900853	99.701667	97.480000	
0.010000	0.038717	0.961865	99.671667	97.430000	
0.010000	0.043233	0.918120	99.623333	97.700000	
0.010000	0.024907	1.025158	99.756667	97.430000	
0.010000	0.028398	0.898918	99.733333	97.660000	
0.010000	0.033017	0.901400	99.706667	97.650000	
0.010000	0.029696	0.946859	99.746667	97.540000	
0.010000	0.023725	0.879755	99.790000	97.740000	
0.010000	0.040698	0.940558	99.715000	97.440000	
0.010000	0.029171	0.919083	99.763333	97.890000	
0.010000	0.021444	0.970697	99.780000	97.770000	
0.010000	0.031054	0.948521	99.718333	97.790000	
0.010000	0.022991	1.050244	99.820000	97.140000	
0.010000	0.030818	1.011250	99.743333	97.670000	
0.010000	0.032604	1.033105	99.700000	97.450000	
0.010000	0.026646	0.997103	99.746667	97.700000	
0.010000	0.029904	1.107230	99.753333	97.480000	
0.010000	0.028006	1.377794	99.770000	97.310000	
0.010000	0.023331	1.093353	99.795000	97.550000	
0.010000	0.044141	1.069736	99.700000	97.710000	
0.010000	0.024043	1.149745	99.798333	97.570000	
0.010000	0.027677	1.123332	99.768333	97.650000	
0.010000	0.029310	1.100407	99.780000	97.640000	
0.010000	0.032716	1.007570	99.776667	97.750000	
0.010000	0.017840	1.103577	99.853333	97.710000	
0.010000	0.025590	1.107951	99.770000	97.780000	
0.010000	0.032354	1.134005	99.783333	97.740000	
0.010000	0.030718	1.192220	99.801667	97.620000	
0.010000	0.023716	1.127920	99.796667	97.720000	
0.010000	0.024949	1.138621	99.793333	97.670000	
0.010000	0.019495	1.117284	99.840000	97.750000	
0.010000	0.031134	1.358779	99.786667	97.470000	
0.010000	0.034769	1.196216	99.781667	97.690000	
0.010000	0.028220	1.337151	99.821667	97.650000	
0.010000	0.020132	1.385265	99.860000	97.720000	
0.010000	0.030279	1.417570	99.781667	97.570000	
0.010000	0.030118	1.259943	99.806667	97.670000	
0.010000	0.019316	1.274550	99.855000	97.710000	
0.010000	0.023781	1.460659	99.828333	97.560000	
0.010000	0.020447	1.552826	99.848333	97.550000	
0.010000	0.036892	1.333730	99.780000	97.710000	
0.010000	0.032496	1.332110	99.810000	97.820000	
