Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.000010	1.752479	1.489028	34.554000	45.030000	
0.000010	1.601059	1.381533	41.342000	48.170000	
0.000010	1.249817	1.245439	54.242000	53.920000	
0.000010	1.067491	1.042034	61.136000	62.460000	
0.000010	0.921386	0.946250	66.708000	66.570000	
0.000010	0.793619	0.946209	71.680000	66.580000	
0.000010	0.697289	0.771850	75.080000	73.000000	
0.000010	0.593016	0.746461	78.850000	74.820000	
0.000010	0.511827	0.788266	81.944000	73.960000	
0.000010	0.435824	0.831928	84.524000	73.650000	
0.000010	0.351739	0.764107	87.498000	75.500000	
0.000010	0.292078	0.893015	89.536000	74.430000	
0.000010	0.242000	0.822578	91.284000	76.890000	
0.000010	0.196539	1.027499	92.986000	73.890000	
0.000010	0.162249	1.030801	94.318000	75.170000	
0.000010	0.134704	1.010626	95.236000	75.380000	
0.000010	0.119010	1.124031	95.922000	74.210000	
0.000010	0.094851	1.189780	96.716000	75.410000	
0.000010	0.082646	1.035251	97.148000	75.730000	
0.000010	0.074858	1.050313	97.412000	76.380000	
0.000010	0.065864	1.217292	97.806000	76.500000	
0.000010	0.064640	1.074928	97.780000	77.380000	
0.000010	0.049246	1.278375	98.322000	75.370000	
0.000010	0.048252	1.283978	98.348000	76.440000	
0.000010	0.038815	1.166929	98.668000	77.280000	
0.000010	0.034658	1.255517	98.798000	77.420000	
0.000010	0.037796	1.218874	98.722000	77.340000	
0.000010	0.029233	1.267711	99.036000	77.180000	
0.000010	0.027832	1.388582	99.066000	77.680000	
0.000010	0.031854	1.362037	98.912000	76.500000	
0.000010	0.024635	1.378218	99.178000	77.670000	
0.000010	0.021643	1.375233	99.248000	77.110000	
0.000010	0.021218	1.360813	99.260000	77.630000	
0.000010	0.018705	1.460125	99.358000	76.680000	
0.000010	0.023246	1.437602	99.228000	78.080000	
0.000010	0.011908	1.387122	99.596000	77.230000	
0.000010	0.012570	1.631279	99.600000	77.450000	
0.000010	0.016624	1.400886	99.452000	77.980000	
0.000010	0.016879	1.340584	99.454000	78.180000	
0.000010	0.013087	1.539834	99.552000	76.610000	
0.000010	0.016269	1.289066	99.436000	77.580000	
0.000010	0.007077	1.497297	99.800000	78.530000	
0.000010	0.006805	1.643766	99.778000	77.750000	
0.000010	0.007198	1.515506	99.750000	78.120000	
0.000010	0.011245	1.551729	99.614000	76.560000	
0.000010	0.010487	1.659689	99.642000	77.060000	
0.000010	0.013420	1.462003	99.554000	77.390000	
0.000010	0.006130	1.468894	99.790000	77.920000	
0.000010	0.001719	1.693680	99.960000	79.360000	
0.000010	0.000220	1.736464	99.996000	79.390000	
0.000010	0.000022	1.740112	100.000000	79.570000	
0.000010	0.000014	1.740326	100.000000	79.610000	
0.000010	0.000012	1.737947	100.000000	79.650000	
0.000010	0.000011	1.734404	100.000000	79.650000	
0.000010	0.000011	1.730059	100.000000	79.720000	
0.000010	0.000010	1.725703	100.000000	79.770000	
0.000010	0.000010	1.720528	100.000000	79.750000	
0.000010	0.000010	1.715402	100.000000	79.800000	
0.000010	0.000010	1.710303	100.000000	79.830000	
0.000010	0.000010	1.704861	100.000000	79.850000	
0.000010	0.000010	1.699450	100.000000	79.890000	
0.000010	0.000010	1.694098	100.000000	79.900000	
0.000010	0.000010	1.688816	100.000000	79.880000	
0.000010	0.000010	1.683808	100.000000	79.930000	
0.000010	0.000010	1.678795	100.000000	79.940000	
0.000010	0.000010	1.673565	100.000000	79.980000	
0.000010	0.000010	1.668431	100.000000	79.950000	
0.000010	0.000010	1.663715	100.000000	79.960000	
0.000010	0.000011	1.658593	100.000000	79.960000	
0.000010	0.000011	1.653899	100.000000	79.940000	
0.000010	0.000011	1.649478	100.000000	79.940000	
0.000010	0.000011	1.645142	100.000000	79.970000	
0.000010	0.000011	1.640886	100.000000	80.020000	
0.000010	0.000011	1.636933	100.000000	80.020000	
0.000010	0.000012	1.632908	100.000000	80.040000	
0.000010	0.000012	1.628915	100.000000	80.060000	
0.000010	0.000012	1.625439	100.000000	80.080000	
0.000010	0.000012	1.622203	100.000000	80.040000	
0.000010	0.000012	1.618562	100.000000	80.070000	
0.000010	0.000013	1.615436	100.000000	80.050000	
0.000010	0.000013	1.612481	100.000000	80.050000	
0.000010	0.000013	1.609516	100.000000	80.030000	
0.000010	0.000013	1.606380	100.000000	80.070000	
0.000010	0.000013	1.603463	100.000000	80.070000	
0.000010	0.000014	1.600773	100.000000	80.060000	
0.000010	0.000014	1.597892	100.000000	80.040000	
0.000010	0.000014	1.595535	100.000000	80.010000	
0.000010	0.000014	1.593109	100.000000	80.020000	
0.000010	0.000014	1.591108	100.000000	80.010000	
0.000010	0.000014	1.589285	100.000000	79.970000	
0.000010	0.000015	1.586841	100.000000	79.940000	
0.000010	0.000015	1.585035	100.000000	79.990000	
0.000010	0.000015	1.583382	100.000000	80.010000	
0.000010	0.000015	1.581495	100.000000	80.020000	
0.000010	0.000015	1.579885	100.000000	80.070000	
0.000010	0.000016	1.578042	100.000000	80.100000	
0.000010	0.000016	1.576563	100.000000	80.080000	
0.000010	0.000016	1.575078	100.000000	80.090000	
0.000010	0.000016	1.573818	100.000000	80.130000	
0.000010	0.000016	1.572532	100.000000	80.080000	
