Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.010000	0.518331	0.276402	86.491667	92.230000	
0.010000	0.256492	0.220004	92.756667	93.800000	
0.010000	0.200630	0.172826	94.360000	95.080000	
0.010000	0.164381	0.152653	95.370000	95.570000	
0.010000	0.138447	0.129087	96.133333	96.290000	
0.010000	0.120161	0.118166	96.690000	96.640000	
0.010000	0.105792	0.107378	97.076667	96.850000	
0.010000	0.093956	0.099371	97.461667	97.100000	
0.010000	0.084315	0.101366	97.701667	96.950000	
0.010000	0.076504	0.087037	97.940000	97.440000	
0.010000	0.069928	0.086819	98.108333	97.420000	
0.010000	0.064469	0.081203	98.306667	97.560000	
0.010000	0.059443	0.077671	98.413333	97.590000	
0.010000	0.055433	0.076034	98.531667	97.710000	
0.010000	0.051471	0.071301	98.696667	97.850000	
0.010000	0.047878	0.072035	98.840000	97.870000	
0.010000	0.045179	0.067448	98.895000	97.940000	
0.010000	0.042321	0.067603	98.970000	97.900000	
0.010000	0.040071	0.066766	99.036667	98.030000	
0.010000	0.037506	0.064672	99.106667	97.990000	
0.010000	0.035434	0.065495	99.228333	98.030000	
0.010000	0.033841	0.062973	99.261667	98.070000	
0.010000	0.032135	0.064645	99.298333	98.030000	
0.010000	0.030405	0.061570	99.363333	98.090000	
0.010000	0.028946	0.061482	99.421667	98.180000	
0.010000	0.027535	0.059482	99.460000	98.170000	
0.010000	0.026322	0.059694	99.493333	98.220000	
0.010000	0.025169	0.060192	99.528333	98.110000	
0.010000	0.024083	0.059551	99.571667	98.160000	
0.010000	0.023112	0.058751	99.610000	98.190000	
0.010000	0.022154	0.058025	99.646667	98.200000	
0.010000	0.021329	0.057543	99.665000	98.300000	
0.010000	0.020526	0.056936	99.693333	98.330000	
0.010000	0.019773	0.057073	99.726667	98.180000	
0.010000	0.018986	0.058296	99.733333	98.200000	
0.010000	0.018450	0.056621	99.766667	98.240000	
0.010000	0.017721	0.056730	99.780000	98.200000	
0.010000	0.017222	0.056179	99.783333	98.250000	
0.010000	0.016656	0.056184	99.810000	98.210000	
0.010000	0.016201	0.056020	99.820000	98.310000	
0.010000	0.015779	0.055498	99.828333	98.280000	
0.010000	0.015227	0.056484	99.831667	98.200000	
0.010000	0.014931	0.056070	99.850000	98.240000	
0.010000	0.014467	0.056748	99.883333	98.240000	
0.010000	0.014097	0.054546	99.890000	98.330000	
0.010000	0.013779	0.054961	99.885000	98.310000	
0.010000	0.013468	0.054890	99.891667	98.280000	
0.010000	0.013138	0.055783	99.906667	98.250000	
0.010000	0.012901	0.055509	99.900000	98.260000	
0.010000	0.012577	0.055285	99.913333	98.240000	
0.010000	0.012296	0.054900	99.913333	98.240000	
0.010000	0.012147	0.054861	99.911667	98.230000	
0.010000	0.011814	0.054711	99.930000	98.260000	
0.010000	0.011596	0.054991	99.923333	98.220000	
0.010000	0.011405	0.053726	99.925000	98.270000	
0.010000	0.011209	0.053743	99.936667	98.280000	
0.010000	0.011003	0.054341	99.931667	98.310000	
0.010000	0.010800	0.054638	99.940000	98.310000	
0.010000	0.010697	0.053840	99.945000	98.250000	
0.010000	0.010484	0.053945	99.946667	98.290000	
0.010000	0.010330	0.053596	99.946667	98.270000	
0.010000	0.010145	0.053247	99.950000	98.310000	
0.010000	0.010033	0.053452	99.950000	98.310000	
0.010000	0.009928	0.053510	99.951667	98.330000	
0.010000	0.009782	0.053541	99.951667	98.300000	
0.010000	0.009710	0.054059	99.951667	98.220000	
0.010000	0.009583	0.053963	99.960000	98.290000	
0.010000	0.009443	0.054731	99.958333	98.280000	
0.010000	0.009334	0.053615	99.963333	98.290000	
0.010000	0.009244	0.053832	99.961667	98.300000	
0.010000	0.009141	0.053985	99.965000	98.310000	
0.010000	0.009028	0.053509	99.963333	98.300000	
0.010000	0.008993	0.053160	99.968333	98.300000	
0.010000	0.008848	0.053330	99.975000	98.350000	
0.010000	0.008844	0.054049	99.973333	98.340000	
0.010000	0.008768	0.053043	99.966667	98.310000	
0.010000	0.008586	0.053042	99.973333	98.270000	
0.010000	0.008581	0.053087	99.970000	98.300000	
0.010000	0.008484	0.053218	99.970000	98.340000	
0.010000	0.008445	0.053235	99.968333	98.310000	
0.010000	0.008343	0.052977	99.976667	98.310000	
0.010000	0.008297	0.052749	99.975000	98.320000	
0.010000	0.008245	0.053383	99.978333	98.340000	
0.010000	0.008178	0.053065	99.980000	98.300000	
0.010000	0.008149	0.052347	99.975000	98.350000	
0.010000	0.008072	0.052886	99.980000	98.270000	
0.010000	0.008053	0.053469	99.978333	98.330000	
0.010000	0.007976	0.053009	99.971667	98.310000	
0.010000	0.007919	0.053021	99.985000	98.320000	
0.010000	0.007894	0.052456	99.981667	98.300000	
0.010000	0.007853	0.052814	99.983333	98.330000	
0.010000	0.007805	0.052382	99.983333	98.370000	
0.010000	0.007773	0.052992	99.981667	98.270000	
0.010000	0.007734	0.052868	99.978333	98.310000	
0.010000	0.007685	0.052647	99.980000	98.320000	
0.010000	0.007692	0.052332	99.976667	98.340000	
0.010000	0.007644	0.052486	99.986667	98.340000	
0.010000	0.007605	0.052621	99.983333	98.350000	
0.010000	0.007537	0.052511	99.986667	98.310000	
0.010000	0.007539	0.052399	99.985000	98.310000	
