Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.010000	0.346516	0.147660	90.030000	95.650000	
0.010000	0.135670	0.112005	95.991667	96.930000	
0.010000	0.103354	0.128158	96.836667	96.320000	
0.010000	0.088940	0.131381	97.205000	96.510000	
0.010000	0.083022	0.118839	97.400000	96.440000	
0.010000	0.073510	0.103437	97.723333	96.760000	
0.010000	0.066577	0.098642	97.875000	97.300000	
0.010000	0.064942	0.095377	97.945000	97.460000	
0.010000	0.063472	0.090568	97.960000	97.380000	
0.010000	0.056521	0.108426	98.158333	97.100000	
0.010000	0.059744	0.111463	98.060000	97.030000	
0.010000	0.058109	0.095287	98.130000	97.270000	
0.010000	0.053975	0.113122	98.245000	97.020000	
0.010000	0.055493	0.093816	98.288333	97.290000	
0.010000	0.056528	0.092563	98.175000	97.360000	
0.010000	0.056521	0.100921	98.210000	97.020000	
0.010000	0.059047	0.113154	98.055000	96.690000	
0.010000	0.058090	0.105398	98.100000	96.760000	
0.010000	0.051960	0.091030	98.293333	97.480000	
0.010000	0.052851	0.110668	98.328333	96.810000
