Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.010000	0.255348	0.146408	92.313333	95.550000	
0.010000	0.101215	0.101297	96.900000	97.040000	
0.010000	0.076355	0.090812	97.526667	97.210000	
0.010000	0.063941	0.096884	97.995000	97.130000	
0.010000	0.056153	0.076281	98.265000	97.680000	
0.010000	0.051269	0.078503	98.308333	97.700000	
0.010000	0.047460	0.080102	98.443333	97.660000	
0.010000	0.045143	0.079716	98.506667	97.620000	
0.010000	0.043470	0.113755	98.558333	96.740000	
0.010000	0.042380	0.107393	98.591667	96.850000	
0.010000	0.039171	0.082644	98.665000	97.740000	
0.010000	0.039353	0.075958	98.670000	97.690000	
0.010000	0.038444	0.081697	98.746667	97.570000	
0.010000	0.037042	0.088664	98.748333	97.360000	
0.010000	0.038230	0.095603	98.761667	97.260000	
0.010000	0.036230	0.098870	98.811667	97.300000	
0.010000	0.035849	0.084233	98.795000	97.650000	
0.010000	0.037112	0.070040	98.728333	97.750000	
0.010000	0.037026	0.094633	98.778333	97.250000	
0.010000	0.034786	0.094778	98.845000	97.200000	
