Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.010000	0.336502	0.169553	90.521667	95.190000	
0.010000	0.144916	0.113174	95.838333	96.620000	
0.010000	0.099999	0.095337	97.155000	97.280000	
0.010000	0.076192	0.080376	97.845000	97.560000	
0.010000	0.061330	0.078878	98.295000	97.660000	
0.010000	0.050560	0.073984	98.621667	97.890000	
0.010000	0.042781	0.068657	98.893333	97.950000	
0.010000	0.036257	0.064411	99.071667	98.000000	
0.010000	0.031435	0.063470	99.238333	97.980000	
0.010000	0.027626	0.060184	99.365000	98.120000	
0.010000	0.024215	0.058186	99.503333	98.110000	
0.010000	0.021271	0.058312	99.598333	98.180000	
0.010000	0.019307	0.055942	99.643333	98.220000	
0.010000	0.017526	0.056689	99.706667	98.170000	
0.010000	0.015996	0.054390	99.750000	98.270000	
0.010000	0.014777	0.060424	99.820000	98.100000	
0.010000	0.013358	0.055392	99.858333	98.240000	
0.010000	0.012679	0.053948	99.886667	98.340000	
0.010000	0.011768	0.053439	99.893333	98.290000	
0.010000	0.011195	0.055058	99.903333	98.300000	
0.010000	0.010668	0.054391	99.918333	98.240000	
0.010000	0.010185	0.052764	99.938333	98.360000	
0.010000	0.009733	0.053464	99.946667	98.290000	
0.010000	0.009323	0.053347	99.943333	98.310000	
0.010000	0.009135	0.052284	99.956667	98.330000	
0.010000	0.008858	0.053145	99.958333	98.330000	
0.010000	0.008597	0.052478	99.956667	98.350000	
0.010000	0.008345	0.051813	99.968333	98.400000	
0.010000	0.008192	0.053118	99.970000	98.340000	
0.010000	0.007960	0.053408	99.978333	98.280000	
0.010000	0.007857	0.052585	99.976667	98.310000	
0.010000	0.007697	0.053201	99.980000	98.390000	
0.010000	0.007679	0.051349	99.983333	98.390000	
0.010000	0.007586	0.053171	99.973333	98.260000	
0.010000	0.007571	0.051388	99.981667	98.390000	
0.010000	0.007371	0.052170	99.976667	98.320000	
0.010000	0.007393	0.051625	99.983333	98.320000	
0.010000	0.007241	0.052957	99.983333	98.340000	
0.010000	0.007267	0.052168	99.986667	98.360000	
0.010000	0.007203	0.051525	99.986667	98.400000	
0.010000	0.007166	0.051293	99.986667	98.410000	
0.010000	0.007134	0.051802	99.986667	98.350000	
0.010000	0.007035	0.050727	99.986667	98.340000	
0.010000	0.007054	0.051470	99.991667	98.400000	
0.010000	0.007061	0.050197	99.985000	98.360000	
0.010000	0.007042	0.050753	99.993333	98.370000	
0.010000	0.006966	0.050933	99.985000	98.400000	
0.010000	0.006921	0.050962	99.986667	98.420000	
0.010000	0.006930	0.051635	99.988333	98.380000	
0.010000	0.006917	0.050909	99.990000	98.440000	
0.010000	0.006902	0.051113	99.993333	98.400000	
0.010000	0.006850	0.050237	99.993333	98.440000	
0.010000	0.006813	0.050614	99.991667	98.380000	
0.010000	0.006811	0.051263	99.993333	98.440000	
0.010000	0.006802	0.050668	99.988333	98.420000	
0.010000	0.006842	0.049908	99.993333	98.400000	
0.010000	0.006787	0.051682	99.995000	98.330000	
0.010000	0.006810	0.050853	99.991667	98.420000	
0.010000	0.006737	0.051114	99.988333	98.360000	
0.010000	0.006732	0.050836	99.996667	98.330000	
0.010000	0.006754	0.050399	99.991667	98.280000	
0.010000	0.006661	0.051212	99.996667	98.370000	
0.010000	0.006715	0.050844	99.995000	98.400000	
0.010000	0.006724	0.051058	99.986667	98.360000	
0.010000	0.006719	0.050900	99.993333	98.350000	
0.010000	0.006670	0.051219	99.991667	98.380000	
0.010000	0.006671	0.050154	99.995000	98.380000	
0.010000	0.006679	0.050628	99.991667	98.460000	
0.010000	0.006649	0.049664	99.991667	98.330000	
0.010000	0.006620	0.049910	99.995000	98.390000	
0.010000	0.006662	0.050280	99.995000	98.430000	
0.010000	0.006618	0.050941	99.995000	98.410000	
0.010000	0.006611	0.050302	99.996667	98.430000	
0.010000	0.006638	0.050366	99.991667	98.380000	
0.010000	0.006615	0.050208	99.993333	98.440000	
0.010000	0.006595	0.050282	99.990000	98.370000	
0.010000	0.006591	0.049862	99.996667	98.410000	
0.010000	0.006596	0.049905	99.996667	98.460000	
0.010000	0.006545	0.050270	99.995000	98.400000	
0.010000	0.006570	0.049931	99.995000	98.410000	
0.010000	0.006496	0.050060	99.998333	98.390000	
0.010000	0.006576	0.050610	99.996667	98.450000	
0.010000	0.006534	0.049906	99.995000	98.550000	
0.010000	0.006534	0.048927	99.993333	98.490000	
0.010000	0.006528	0.049643	99.993333	98.350000	
0.010000	0.006553	0.049550	99.991667	98.410000	
0.010000	0.006503	0.048953	99.995000	98.470000	
0.010000	0.006527	0.050295	99.996667	98.450000	
0.010000	0.006522	0.049315	99.996667	98.420000	
0.010000	0.006522	0.050775	99.991667	98.410000	
0.010000	0.006516	0.049227	99.993333	98.430000	
0.010000	0.006527	0.049432	99.996667	98.420000	
0.010000	0.006464	0.049200	99.996667	98.470000	
0.010000	0.006520	0.049177	99.996667	98.430000	
0.010000	0.006470	0.050016	99.996667	98.390000	
0.010000	0.006470	0.049638	99.993333	98.500000	
0.010000	0.006481	0.050233	99.995000	98.430000	
0.010000	0.006483	0.049646	99.991667	98.440000	
0.010000	0.006456	0.050230	99.991667	98.350000	
0.010000	0.006440	0.049659	99.998333	98.480000	
